#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 369000      1.28e+00      8.49e-03      6.16e-02    4.3e-04
 370000      1.32e+00      5.75e-03      6.40e-02    4.3e-04
 371000      1.32e+00      1.28e-02      6.36e-02    4.3e-04
 372000      1.28e+00      6.27e-03      6.18e-02    4.3e-04
 373000      1.36e+00      1.26e-05      6.60e-02    4.3e-04
 374000      1.47e+00      6.03e-03      7.13e-02    4.3e-04
 375000      1.28e+00      9.22e-03      6.22e-02    4.2e-04
 376000      2.00e+00      2.02e-02      9.70e-02    4.2e-04
 377000      1.52e+00      1.60e-03      7.38e-02    4.2e-04
 378000      1.20e+00      3.86e-03      5.83e-02    4.2e-04
 379000      1.53e+00      2.01e-02      7.36e-02    4.2e-04
 380000      1.28e+00      8.61e-03      6.24e-02    4.2e-04
 381000      1.35e+00      1.19e-02      6.57e-02    4.2e-04
 382000      1.46e+00      7.74e-03      7.15e-02    4.2e-04
 383000      1.32e+00      5.53e-03      6.45e-02    4.2e-04
 384000      1.27e+00      4.44e-03      6.23e-02    4.2e-04
 385000      1.38e+00      1.49e-03      6.77e-02    4.1e-04
 386000      1.24e+00      1.39e-02      6.05e-02    4.1e-04
 387000      1.43e+00      8.99e-03      7.01e-02    4.1e-04
 388000      1.20e+00      6.16e-04      5.89e-02    4.1e-04
 389000      1.42e+00      2.41e-03      6.99e-02    4.1e-04
 390000      1.43e+00      3.63e-03      7.05e-02    4.1e-04
 391000      1.17e+00      5.92e-03      5.77e-02    4.1e-04
 392000      1.28e+00      2.64e-03      6.31e-02    4.1e-04
 393000      1.17e+00      1.45e-02      5.77e-02    4.1e-04
 394000      1.31e+00      3.06e-02      6.30e-02    4.1e-04
 395000      1.07e+00      1.36e-03      5.32e-02    4.0e-04
 396000      1.63e+00      3.99e-04      8.14e-02    4.0e-04
 397000      1.34e+00      9.12e-03      6.63e-02    4.0e-04
 398000      1.25e+00      3.70e-03      6.22e-02    4.0e-04
 399000      1.14e+00      5.36e-03      5.65e-02    4.0e-04
 400000      1.24e+00      1.30e-02      6.17e-02    4.0e-04
 401000      1.13e+00      9.47e-03      5.64e-02    4.0e-04
 402000      1.30e+00      1.82e-02      6.42e-02    4.0e-04
 403000      1.47e+00      4.94e-03      7.37e-02    4.0e-04
 404000      1.51e+00      3.86e-03      7.57e-02    4.0e-04
 405000      1.29e+00      3.90e-03      6.51e-02    3.9e-04
 406000      1.20e+00      2.32e-02      5.92e-02    3.9e-04
 407000      1.21e+00      8.56e-03      6.07e-02    3.9e-04
 408000      1.37e+00      1.74e-02      6.84e-02    3.9e-04
 409000      1.11e+00      2.85e-03      5.58e-02    3.9e-04
 410000      1.17e+00      3.44e-03      5.94e-02    3.9e-04
